date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:51	95813/95813	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2007:31:51%20GMT	https://dogedoogha.wordpress.com/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/index.html	(from )
15:31:51	344/344	---MCZ	200	added ('OK')	text/plain	date:Sun,%2025%20Jan%202026%2007:31:51%20GMT	https://dogedoogha.wordpress.com/robots.txt		(from )
15:31:51	8050/8050	---MCZ	200	added ('OK')	text/css	etag:W/9858-1761640972194.1577	https://dogedoogha.wordpress.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1761640963i&cssminify=yes	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/wp-content/blog-plugins/marketing-bar/css/marketing-barb6f2.css	(from https://dogedoogha.wordpress.com/)
15:31:52	30546/30546	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2025%20Jan%202026%2007:26:05%20GMT	https://dogedoogha.wordpress.com/feed/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/feed/index.html	(from https://dogedoogha.wordpress.com/)
15:31:52	317/317	---M--	200	added ('OK')	text/css	etag:W/471-1684461226194.0437	https://dogedoogha.wordpress.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/wp-content/themes/h4/globalf753.css	(from https://dogedoogha.wordpress.com/)
15:31:52	2481/2481	---MCZ	200	added ('OK')	application/javascript	etag:W/5444-1720530696932.07	https://dogedoogha.wordpress.com/wp-content/js/rlt-proxy.js?m=1720530689i	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/wp-content/js/rlt-proxye978.js	(from https://dogedoogha.wordpress.com/)
15:31:52	877/877	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e6ef33b090422d9a5db1ef4e894c9c32%22	https://dogedoogha.wordpress.com/comments/feed/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/comments/feed/index.html	(from https://dogedoogha.wordpress.com/)
15:31:52	432/432	---M--	200	added ('OK')	text/css	etag:%226466e607-1b0%22	https://dogedoogha.wordpress.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/_static/indexd02a.html	(from https://dogedoogha.wordpress.com/)
15:31:53	875/875	---MCZ	200	added ('OK')	text/xml	date:Sun,%2025%20Jan%202026%2007:31:53%20GMT	https://dogedoogha.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/xmlrpc0db0.php	(from https://dogedoogha.wordpress.com/)
15:31:53	11217/11217	---MCZ	200	added ('OK')	text/css	etag:W/%226973a502-2bd1%22	https://dogedoogha.wordpress.com/_static/??-eJx9i0EOgyAQAD8kbjyo7aHpW4CsSLOwhF3S+PvSm168zSQz8C3Gc1bMCrpjQoHSHFgRTI6wguhBOHqRAU5paqZQCzELVHTEoWOAXp30bgrIhthbjZwvYjaysf7Xd3pN6/KcHss8r58fDIA+Cw==&cssminify=yes	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/_static/indexe9f0.html	(from https://dogedoogha.wordpress.com/)
15:31:53	6211/6211	---M--	200	added ('OK')	image/png	etag:%2266278e2e-1843%22	https://s2.wp.com/i/webclip.png?m=1713868326i	C:/My%20Web%20Sites/hi/s2.wp.com/i/webclip31a6.png	(from https://dogedoogha.wordpress.com/)
15:31:53	1371/1371	---MCZ	200	added ('OK')	application/xml	date:Sun,%2025%20Jan%202026%2007:31:53%20GMT	https://dogedoogha.wordpress.com/osd.xml	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/osd.xml	(from https://dogedoogha.wordpress.com/)
15:31:54	39580/39580	---MCZ	200	added ('OK')	application/javascript	etag:W/%22696fd0d4-9a9c%22	https://s1.wp.com/wp-content/plugins/gutenberg-core/v22.4.0/build/modules/interactivity/index.min.js?m=1768935615i&ver=59e09970078eb30c665d	C:/My%20Web%20Sites/hi/s1.wp.com/wp-content/plugins/gutenberg-core/v22.4.0/build/modules/interactivity/index.min2ada.js	(from https://dogedoogha.wordpress.com/)
15:31:54	88982/88982	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2007:31:54%20GMT	https://dogedoogha.wordpress.com/about/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/about/index.html	(from https://dogedoogha.wordpress.com/)
15:31:54	2997/2997	---MCZ	200	added ('OK')	application/javascript	etag:W/%22696fd0df-bb5%22	https://s1.wp.com/wp-content/plugins/gutenberg-core/v22.4.0/build/modules/block-library/navigation/view.min.js?m=1768935615i&ver=243a659f91c3dc9841c7	C:/My%20Web%20Sites/hi/s1.wp.com/wp-content/plugins/gutenberg-core/v22.4.0/build/modules/block-library/navigation/view.min7cbd.js	(from https://dogedoogha.wordpress.com/)
15:31:57	172843/172843	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2007:31:55%20GMT	https://dogedoogha.wordpress.com/2026/01/25/the-arrow-flew-straight-to-its-target-quickly-and-accurately-today/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/2026/01/25/the-arrow-flew-straight-to-its-target-quickly-and-accurately-today/index.html	(from https://dogedoogha.wordpress.com/)
15:32:00	172420/172420	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2007:31:55%20GMT	https://dogedoogha.wordpress.com/2026/01/25/the-book-is-whose-cover-is-very-attractive-and-colorful/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/2026/01/25/the-book-is-whose-cover-is-very-attractive-and-colorful/index.html	(from https://dogedoogha.wordpress.com/)
15:32:01	172716/172716	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2007:31:56%20GMT	https://dogedoogha.wordpress.com/2026/01/25/she-acted-unlike-her-usual-calm-self-today/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/2026/01/25/she-acted-unlike-her-usual-calm-self-today/index.html	(from https://dogedoogha.wordpress.com/)
15:32:03	171484/171484	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2007:31:58%20GMT	https://dogedoogha.wordpress.com/2026/01/25/the-text-is-very-short/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/2026/01/25/the-text-is-very-short/index.html	(from https://dogedoogha.wordpress.com/)
15:32:05	172230/172230	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2007:32:01%20GMT	https://dogedoogha.wordpress.com/2026/01/25/she-won-the-big-prize/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/2026/01/25/she-won-the-big-prize/index.html	(from https://dogedoogha.wordpress.com/)
15:32:07	172377/172377	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2007:32:01%20GMT	https://dogedoogha.wordpress.com/2026/01/25/he-family-celebrated-her-special-birthday-with-love/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/2026/01/25/he-family-celebrated-her-special-birthday-with-love/index.html	(from https://dogedoogha.wordpress.com/)
15:32:08	173114/173114	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2007:32:03%20GMT	https://dogedoogha.wordpress.com/2026/01/25/australia-is-a-very-beautiful-country/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/2026/01/25/australia-is-a-very-beautiful-country/index.html	(from https://dogedoogha.wordpress.com/)
15:32:11	165924/165924	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2007:32:06%20GMT	https://dogedoogha.wordpress.com/2026/01/25/hello-world/	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/2026/01/25/hello-world/index.html	(from https://dogedoogha.wordpress.com/)
15:32:15	655/655	---MCZ	200	added ('OK')	application/javascript	etag:W/1125-1684461252039.9595	https://dogedoogha.wordpress.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1610363240i	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoe8bd.js	(from https://dogedoogha.wordpress.com/)
15:32:16	12829/12829	---MCZ	200	added ('OK')	application/javascript	etag:W/12868-1717166115685.7278	http://stats.wp.com/w.js?68	C:/My%20Web%20Sites/hi/stats.wp.com/wa3f3.js	(from https://dogedoogha.wordpress.com/)
15:32:16	43/43	---M--	200	added ('OK')	image/gif	date:Sun,%2025%20Jan%202026%2007:32:17%20GMT	https://pixel.wp.com/b.gif?v=noscript	C:/My%20Web%20Sites/hi/pixel.wp.com/b0b80.gif	(from https://dogedoogha.wordpress.com/)
15:32:17	13941/13941	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269049260-3675%22	https://dogedoogha.wordpress.com/wp-content/js/bilmur.min.js?i=17&m=202604	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/wp-content/js/bilmur.min6153.js	(from https://dogedoogha.wordpress.com/)
15:32:17	1237/1237	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226466e607-4d5%22	https://dogedoogha.wordpress.com/wp-content/blog-plugins/marketing-bar/images/wpcom-mark.svg	C:/My%20Web%20Sites/hi/dogedoogha.wordpress.com/wp-content/blog-plugins/marketing-bar/images/wpcom-mark.svg	(from https://dogedoogha.wordpress.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1761640963i&cssminify=yes)
